STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS
USC00420086,"ALTON, UT US",1/1/40,0,48,26,43
USC00420086,"ALTON, UT US",1/2/40,0.01,43,27,37
USC00420086,"ALTON, UT US",1/3/40,0.02,52,23,47
USC00420086,"ALTON, UT US",1/4/40,0.2,47,22,29
USC00420086,"ALTON, UT US",1/5/40,0.05,33,12,23
USC00420086,"ALTON, UT US",1/6/40,0,30,12,23
USC00420086,"ALTON, UT US",1/7/40,0,28,2,26
USC00420086,"ALTON, UT US",1/8/40,0.26,33,23,32
USC00420086,"ALTON, UT US",1/9/40,0.29,35,28,32
USC00420086,"ALTON, UT US",1/10/40,0.06,34,30,32
USC00420086,"ALTON, UT US",1/11/40,0.2,37,26,34
USC00420086,"ALTON, UT US",1/12/40,0.55,36,25,25
USC00420086,"ALTON, UT US",1/13/40,0.03,25,9,21
USC00420086,"ALTON, UT US",1/14/40,0,32,4,26
USC00420086,"ALTON, UT US",1/15/40,0,38,12,27
USC00420086,"ALTON, UT US",1/16/40,0,42,9,32
USC00420086,"ALTON, UT US",1/17/40,0,44,12,35
USC00420086,"ALTON, UT US",1/18/40,0,38,20,28
USC00420086,"ALTON, UT US",1/19/40,0,34,2,30
USC00420086,"ALTON, UT US",1/20/40,0,36,6,29
USC00420086,"ALTON, UT US",1/21/40,0,29,15,22
USC00420086,"ALTON, UT US",1/22/40,0,35,5,23
USC00420086,"ALTON, UT US",1/23/40,0,23,10,22
USC00420086,"ALTON, UT US",1/24/40,0,35,18,32
USC00420086,"ALTON, UT US",1/25/40,0,38,17,32
USC00420086,"ALTON, UT US",1/26/40,0.01,34,21,32
USC00420086,"ALTON, UT US",1/27/40,0,48,26,42
USC00420086,"ALTON, UT US",1/28/40,0,50,23,30
USC00420086,"ALTON, UT US",1/29/40,0,52,22,43
USC00420086,"ALTON, UT US",1/30/40,0,51,20,42
USC00420086,"ALTON, UT US",1/31/40,0,43,30,35
USC00420086,"ALTON, UT US",2/1/40,0.5,37,31,32
USC00420086,"ALTON, UT US",2/2/40,0.31,35,26,30
USC00420086,"ALTON, UT US",2/3/40,0.04,33,28,31
USC00420086,"ALTON, UT US",2/4/40,0.16,38,22,29
USC00420086,"ALTON, UT US",2/5/40,0,34,24,31
USC00420086,"ALTON, UT US",2/6/40,0.01,40,17,31
USC00420086,"ALTON, UT US",2/7/40,0.11,34,24,24
USC00420086,"ALTON, UT US",2/8/40,0,29,17,25
USC00420086,"ALTON, UT US",2/9/40,0,36,11,21
USC00420086,"ALTON, UT US",2/10/40,0,41,21,33
USC00420086,"ALTON, UT US",2/11/40,0,34,20,24
USC00420086,"ALTON, UT US",2/12/40,0,28,7,24
USC00420086,"ALTON, UT US",2/13/40,0,34,4,30
USC00420086,"ALTON, UT US",2/14/40,0.02,33,10,
USC00420086,"ALTON, UT US",2/15/40,0.26,28,21,24
USC00420086,"ALTON, UT US",2/16/40,0,34,16,31
USC00420086,"ALTON, UT US",2/17/40,0,39,9,30
USC00420086,"ALTON, UT US",2/18/40,0.22,32,12,22
USC00420086,"ALTON, UT US",2/19/40,0,30,17,27
USC00420086,"ALTON, UT US",2/20/40,0,40,5,31
USC00420086,"ALTON, UT US",2/21/40,0,38,9,32
USC00420086,"ALTON, UT US",2/22/40,0.15,34,22,31
USC00420086,"ALTON, UT US",2/23/40,0.09,39,29,35
USC00420086,"ALTON, UT US",2/24/40,0,43,21,36
USC00420086,"ALTON, UT US",2/25/40,0,45,22,37
USC00420086,"ALTON, UT US",2/26/40,0.64,45,31,42
USC00420086,"ALTON, UT US",2/27/40,0,47,32,42
USC00420086,"ALTON, UT US",2/28/40,0,50,27,45
USC00420086,"ALTON, UT US",2/29/40,0.06,45,22,31
USC00420086,"ALTON, UT US",3/1/40,0,38,27,35
USC00420086,"ALTON, UT US",3/2/40,0,45,19,33
USC00420086,"ALTON, UT US",3/3/40,0,34,24,32
USC00420086,"ALTON, UT US",3/4/40,0,48,27,42
USC00420086,"ALTON, UT US",3/5/40,0,49,20,40
USC00420086,"ALTON, UT US",3/6/40,0,48,26,39
USC00420086,"ALTON, UT US",3/7/40,0,50,20,40
USC00420086,"ALTON, UT US",3/8/40,0,52,26,45
USC00420086,"ALTON, UT US",3/9/40,0,51,24,47
USC00420086,"ALTON, UT US",3/10/40,0,47,27,38
USC00420086,"ALTON, UT US",3/11/40,0,38,17,23
USC00420086,"ALTON, UT US",3/12/40,0,30,17,27
USC00420086,"ALTON, UT US",3/13/40,0,41,14,34
USC00420086,"ALTON, UT US",3/14/40,0,50,19,43
USC00420086,"ALTON, UT US",3/15/40,0,57,27,51
USC00420086,"ALTON, UT US",3/16/40,0,57,25,48
USC00420086,"ALTON, UT US",3/17/40,0,50,31,44
USC00420086,"ALTON, UT US",3/18/40,0,55,30,50
USC00420086,"ALTON, UT US",3/19/40,0,59,31,54
USC00420086,"ALTON, UT US",3/20/40,0,58,27,51
USC00420086,"ALTON, UT US",3/21/40,0,61,31,51
USC00420086,"ALTON, UT US",3/22/40,0,65,25,36
USC00420086,"ALTON, UT US",3/23/40,0,57,29,55
USC00420086,"ALTON, UT US",3/24/40,0,67,28,58
USC00420086,"ALTON, UT US",3/25/40,0,61,32,48
